"Country/Economy","ISO3","POP","NGDPD","PPPPC","Income","RegionWB","RegionUN","RegionUNcode","GIIrank","Efficiencyrank","Inputrank","Outputrank","GIIscore","Efficiencyscore","Inputscore","Outputscore"
"Switzerland","CHE",7997.15,650.81,46430.13," High income: OECD "," ECS "," Europe "," EUR ",1,6,7,1," 64.78 "," 0.95 "," 66.44 "," 63.11 "
"United Kingdom","GBR",63227.53,2535.76,37306.60," High income: OECD "," EU28 "," Europe "," EUR ",2,29,3,4," 62.37 "," 0.83 "," 68.21 "," 56.52 "
"Sweden","SWE",9516.62,557.94,41188.39," High income: OECD "," EU28 "," Europe "," EUR ",3,22,6,3," 62.29 "," 0.85 "," 67.46 "," 57.13 "
"Finland","FIN",5414.29,256.92,35616.55," High income: OECD "," EU28 "," Europe "," EUR ",4,41,5,6," 60.67 "," 0.80 "," 67.53 "," 53.82 "
"Netherlands","NLD",16767.71,800.01,41710.70," High income: OECD "," EU28 "," Europe "," EUR ",5,12,11,2," 60.59 "," 0.91 "," 63.46 "," 57.73 "
"United States of America","USA",313914.04,16799.70,53101.01," High income: OECD "," NAC "," Northern America "," NAC ",6,57,4,7," 60.09 "," 0.77 "," 67.92 "," 52.27 "
"Singapore","SGP",5312.40,295.74,64583.63," High income: nonOECD "," EAS "," South East Asia and Oceania "," SEAO ",7,110,1,25," 59.24 "," 0.61 "," 73.60 "," 44.88 "
"Denmark","DNK",5590.48,330.96,37900.46," High income: OECD "," EU28 "," Europe "," EUR ",8,61,9,12," 57.52 "," 0.76 "," 65.52 "," 49.52 "
"Luxembourg","LUX",531.44,59.84,78669.78," High income: OECD "," EU28 "," Europe "," EUR ",9,9,21,5," 56.86 "," 0.93 "," 58.78 "," 54.94 "
"Hong Kong (China)","HKG",7154.60,273.66,52721.97," High income: nonOECD "," EAS "," South East Asia and Oceania "," SEAO ",10,99,2,24," 56.82 "," 0.66 "," 68.57 "," 45.08 "
"Ireland","IRL",4588.80,217.88,39547.35," High income: OECD "," EU28 "," Europe "," EUR ",11,47,12,11," 56.67 "," 0.79 "," 63.31 "," 50.04 "
"Canada","CAN",34880.49,1825.10,43471.73," High income: OECD "," NAC "," Northern America "," NAC ",12,86,8,20," 56.13 "," 0.69 "," 66.27 "," 45.99 "
